accountsservice
netcat
netkit-ftp
netkit-telnet
netpbm-free
nevow
newlib
newt
nfs-utils
nmap
nmon
notification-daemon
ntfs-3g
ntp
opencv
openldap
openocd
openoffice.org-dictionaries
openssh
openssh-blacklist
openssl
orage
original-awk
os-prober
ossp-uuid
p11-kit
p7zip
pam
parted
patch
patchutils
pavucontrol
pbuilder
pbzip2
pciutils
perl
pillow
pinentry
pixman
pkg-config
pm-utils
pnm2ppa
po-debconf
policykit-1
polipo
poppler
poppler-data
potrace
powermgmt-base
powertop
ppp
printing-metas
pristine-tar
procmail
procps
psmisc
pstoedit
psutils
ptouch-driver
publicsuffix
pulseaudio
pwgen
pxljr
pyasn1
pycairo
pycurl
pygments
pygobject
pygobject-2
pygtk
pyinotify
pyopengl
pyopenssl
pyqt5
pysimplesoap
python-apt
python-axiom
python-cffi
python-crypto
python-cryptography
python-cups
python-dateutil
python-debian
python-debianbts
python-decorator
python-defaults
python-defer
python-git
python-gitdb
python-gtkglext1
python-httplib2
python-idna
python-ipaddress
python-llfuse
python-lz4
python-lzo
python-numpy
python-qtpy
python-rencode
python-scipy
python-setuptools
python-smmap
python-stdlib-extensions
python-support
python-urllib3
python-webencodings
python2.7
python3-defaults
python3.4
python3.5
qpdf
qt4-x11
qtchooser
qttranslations-opensource-src
radeontool
raptor
rarian
rastertosag-gdi
readline
readline6
remmina
rename
reportbug
requests
rpcbind
rpm
rrdtool
rsync
rsyslog
rtkit
rxvt-unicode
samba
sane-backends
sane-backends-extras
scour
scowl
screen
sed
sensible-utils
sg3-utils
sgml-base
sgml-data
shadow
shared-mime-info
silgraphite2.0
sip4
six
sloccount
smartmontools
software-properties
spew
srtp
ssh-askpass
sshpass
ssl-cert
ssmtp
startpar
strace
strip-nondeterminism
subversion
sudo
synaptic
syncthing
system-config-printer
systemd
sysvbanner
sysvinit
t1utils
talloc
tango-icon-theme
tar
tasksel
tcl8.5
tcl8.6
tcltk-defaults
tcp-wrappers
tcpdump
tcsh
tdb
tex-common
texinfo
thunar
thunar-volman
tiger
tigervnc
time
tk8.5
tk8.6
tkcvs
tmux
tomcat6
tomcat8
traceroute
tracker
tracker-miners
transfig
tree
tripwire
ttf-dejavu
tumbler
twisted
twm
tzdata
ucf
udisks
udisks2
ufraw
unattended-upgrades
underscore
unixodbc
unzip
update-inetd
upower
usbmuxd
usbutils
util-linux
v4l2loopback
vbetool
vim
vnc4
vte2.91
w3m
wdiff
webkitgtk
websockify
wget
whois
winpdb
wipe
wwwconfig-common
wxpython3.0
x11-apps
x11-session-utils
x11-utils
x11-xfs-utils
x11-xkb-utils
x11-xserver-utils
x11proto-kb
x11proto-randr
x11proto-xinerama
xapian-core
xauth
xautolock
xbitmaps
xdelta
xdelta3
xdg-user-dirs
xdg-utils
xfce4
xfce4-appfinder
xfce4-mixer
xfce4-notifyd
xfce4-panel
xfce4-session
xfce4-settings
xfconf
xfdesktop4
xfonts-100dpi
xfonts-75dpi
xfonts-base
xfonts-encodings
xfonts-scalable
xfonts-terminus
xfonts-utils
xfsprogs
xfwm4
xfwm4-themes
xinit
xkeyboard-config
xml-commons-external
xml-core
xmlrpc-c
xnbd
xorg
xorg-docs
xorg-server
xpdf
xpra
xscreensaver
xserver-xorg-input-evdev
xserver-xorg-input-libinput
xserver-xorg-input-mouse
xserver-xorg-input-synaptics
xserver-xorg-input-void
xserver-xorg-video-ati
xserver-xorg-video-dummy
xserver-xorg-video-fbdev
xserver-xorg-video-intel
xserver-xorg-video-vesa
xterm
xtrlock
xz-java
xz-utils
yelp
zip
zlib
zvbi
