a52dec
ipython
ipython-genutils
irqbalance
isc-dhcp
isl
iso-codes
ispell
iucode-tool
iw
jackd2
jansson
jasper
java-atk-wrapper
java-common
javascript-common
javatools
jbig2dec
jbigkit
jemalloc
jetty8
jigit
jimtcl
jinja2
jq
jquery
jqueryui
jsch
json-c
json-glib
junit
junit4
jupyter-core
jzlib
kauth
kbd
kerberos-configs
keybinder
keyutils
klibc
kmod
krb5
kservice
lame
lapack
laptop-detect
latexmk
lcms2
ldb
leafpad
leptonlib
less
libaacs
libabw
libaec
libaio
libalgorithm-c3-perl
libalgorithm-diff-perl
libalgorithm-diff-xs-perl
libalgorithm-merge-perl
libao
libapache-dbi-perl
libapache2-mod-perl2
libappindicator
libapt-pkg-perl
#libarchive
libarchive-extract-perl
libart-lgpl
libass
libassuan
libasyncns
libatasmart
libauthen-sasl-perl
libautovivification-perl
libav
libavc1394
libb-hooks-endofscope-perl
libblockdev
libbluray
libbonobo
libbs2b
libbsd
libburn
libbusiness-isbn-data-perl
libbusiness-isbn-perl
libbusiness-ismn-perl
libbusiness-issn-perl
libcaca
libcacard
libcairo-perl
libcanberra
libcap-ng
libcap2
libcdio
libcdr
libcgi-fast-perl
libcgi-pm-perl
libchamplain
libclass-accessor-perl
libclass-c3-perl
libclass-c3-xs-perl
libclass-data-inheritable-perl
libclass-factory-util-perl
libclass-inspector-perl
libclass-isa-perl
libclass-method-modifiers-perl
libclass-singleton-perl
libcmis
libcommons-cli-java
libcommons-codec-java
libcommons-collections3-java
libcommons-logging-java
libcpan-meta-perl
libcroco
libcryptui
libdaemon
libdap
libdata-compare-perl
libdata-dump-perl
libdata-optlist-perl
libdata-section-perl
libdata-uniqid-perl
libdate-simple-perl
libdatetime-calendar-julian-perl
libdatetime-format-builder-perl
libdatetime-format-strptime-perl
libdatetime-locale-perl
libdatetime-perl
libdatetime-timezone-perl
libdatrie
libdbd-mysql-perl
libdbd-sqlite3-perl
libdbi
libdbi-drivers
libdbi-perl
libdbusmenu
libdc1394-22
libdca
libde265
libdevel-stacktrace-perl
libdevel-symdump-perl
libdigest-md5-file-perl
libdrm
libdv
libdvdnav
libdvdread
libe-book
libedit
libelf
libencode-eucjpms-perl
libencode-hanextra-perl
libencode-jis2k-perl
libencode-locale-perl
libeot
libepoxy
libepsilon
libept
liberror-perl
libestr
libetonyek
libeval-closure-perl
libevdev
libevent
libexception-class-perl
libexif
libexporter-tiny-perl
libexttextcat
libfabric
libfastjson
libfcgi-perl
libffi
libfile-basedir-perl
libfile-copy-recursive-perl
libfile-desktopentry-perl
libfile-fcntllock-perl
libfile-find-rule-perl
libfile-listing-perl
libfile-mimeinfo-perl
libfile-sharedir-perl
libfile-slurp-perl
libfile-slurp-tiny-perl
libfile-slurp-unicode-perl
libfixbuf
libfm
libfont-afm-perl
libfontenc
libfreehand
libgadu
libgc
libgcrypt20
libgd2
libgda5
libgdata
libgeotiff-dfsg
libgksu
libglade2
libglib-perl
libgltf
libglu
libglvnd
libgnome
libgnome-keyring
libgpg-error
libgphoto2
libgsm
libgssglue
libgtk2-perl
libgtop2
libgudev
libgusb
libgweather
libgxps
libhamcrest-java
libhdf4
libhtml-form-perl
libhtml-format-perl
libhtml-parser-perl
libhtml-tagset-perl
libhtml-template-perl
libhtml-tree-perl
libhttp-cookies-perl
libhttp-daemon-perl
libhttp-date-perl
libhttp-message-perl
libhttp-negotiate-perl
libibverbs
libical
libice
libid3tag
libidn
libidn2-0
libiec61883
libieee1284
libimobiledevice
libindicator
libinput
libio-html-perl
libio-socket-ssl-perl
libio-string-perl
libipc-run3-perl
libipc-system-simple-perl
libisoburn
libisofs
libjpeg-turbo
libjsoncpp
libkate
libkml
libksba
liblangtag
liblinear
liblist-allutils-perl
liblist-moreutils-perl
liblist-someutils-perl
liblist-utilsby-perl
liblocale-gettext-perl
liblockfile
liblog-log4perl-perl
liblog-message-perl
liblog-message-simple-perl
liblogging
liblognorm
liblouis
liblqr
liblwp-mediatypes-perl
liblwp-protocol-https-perl
liblwp-useragent-determined-perl
libmad
libmailtools-perl
libmime-charset-perl
libmimic
libmms
libmng
libmnl
libmodplug
libmodule-build-perl
libmodule-implementation-perl
libmodule-pluggable-perl
libmodule-runtime-perl
libmodule-signature-perl
libmpc
libmro-compat-perl
libmspack
libmspub
libmtp
libmusicbrainz3
libmwaw
libnamespace-autoclean-perl
libnamespace-clean-perl
libnet-dbus-perl
libnet-http-perl
libnet-smtp-ssl-perl
libnet-ssleay-perl
libnetfilter-acct
libnetfilter-conntrack
libnfnetlink
libnfs
libnfsidmap
libnice
libnih
libnl3
libnotify
libnumber-compare-perl
liboauth
libodfgen
libofa
libogg
libonig
liboobs
libopenmpt
libopenraw
liborcus
libpackage-constants-perl
libpackage-deprecationmanager-perl
libpackage-stash-perl
libpagemaker
libpango-perl
libpaper
libparams-classify-perl
libparams-util-perl
libparams-validate-perl
libparams-validationcompiler-perl
libparse-debianchangelog-perl
libpcap
libpciaccess
libperl4-corelibs-perl
libpgm
libphonenumber
libpipeline
libplist
libpng
libpng1.6
libpod-latex-perl
libpod-readme-perl
libpostproc
libproxy
libpsl
libpthread-stubs
libpwquality
libqmi
libquvi
libraw
libraw1394
librdmacm
libreadonly-perl
libregexp-assemble-perl
libregexp-common-perl
libreoffice
libreoffice-dictionaries
librest
librevenge
librole-tiny-perl
librsvg
libsamplerate
libscalar-list-utils-perl
libsdl1.2
libsdl2
libseccomp
libsecret
libselinux
libsemanage
libsepol
libshout
libsigc++-2.0
libsigsegv
libsm
libsmi
libsndfile
libsodium
libsoftware-license-perl
libsort-key-perl
libsoup2.4
libsoxr
libspecio-perl
libspectre
libssh
libssh2
libstaroffice
libsub-exporter-perl
libsub-exporter-progressive-perl
libsub-identify-perl
libsub-install-perl
libsub-name-perl
libsub-quote-perl
libswitch-perl
libtasn1-6
libterm-readkey-perl
libterm-ui-perl
libtest-fatal-perl
libtext-bibtex-perl
libtext-charwidth-perl
libtext-csv-perl
libtext-csv-xs-perl
libtext-glob-perl
libtext-iconv-perl
libtext-roman-perl
libtext-soundex-perl
libtext-template-perl
libtext-unidecode-perl
libtext-wrapi18n-perl
libthai
libtheora
libtie-cycle-perl
libtie-ixhash-perl
libtimedate-perl
libtirpc
libtool
libtorrent-rasterbar
libtry-tiny-perl
libunicode-collate-perl
libunicode-linebreak-perl
libunique
libunistring
libunwind
liburi-perl
libusb
libusb-1.0
libusbmuxd
libuser
libutempter
libv8-3.14
libva
libvariable-magic-perl
libvdpau
libvisio
libvisual
libvisual-plugins
libvncserver
libvorbis
libvorbisidec
libvpx
libwacom
libwebp
libwmf
libwnck
libwnck3
libwpd
libwpg
libwps
libwww-perl
libwww-robotrules-perl
libx11
libx11-protocol-perl
libxau
libxaw
libxcb
libxcomposite
libxcursor
libxdamage
libxdmcp
libxext
libxfixes
libxfont
libxfont1
libxi
libxinerama
libxkbcommon
libxkbfile
libxklavier
libxml-libxml-perl
libxml-libxml-simple-perl
libxml-libxslt-perl
libxml-namespacesupport-perl
libxml-parser-perl
libxml-sax-base-perl
libxml-sax-expat-perl
libxml-sax-perl
libxml-twig-perl
libxml-writer-perl
libxml-xpathengine-perl
libxml2
libxmu
libxpm
libxrandr
libxrender
libxres
libxshmfence
libxslt
libxss
libxt
libxtst
libxv
libxvmc
libxxf86dga
libxxf86vm
libyaml
libyaml-perl
libytnef
libzmf
lightdm
lightdm-gtk-greeter
lilv
#linux
linux-atm
linux-base
linux-latest
lirc
live-manual
live-tools
llvm-toolchain-3.5
llvm-toolchain-3.7
llvm-toolchain-3.8
llvm-toolchain-3.9
llvm-toolchain-5.0
lm-sensors
lmodern
logrotate
lp-solve
lsb
lsof
lua-lpeg
lua5.2
lua5.3
lucene2
lvm2
lxappearance
lxappearance-obconf
lxde-common
lxde-icon-theme
lxde-metapackages
lxhotkey
lxinput
lxlauncher
lxmenu-data
lxml
lxmusic
lxpanel
lxrandr
lxsession
lxtask
lxterminal
lynx
lynx-cur
lyx
lz4
lzma
lzo2
m4
make-dfsg
makedev
man-db
manpages
#mariadb-10.0
#mariadb-10.1
markupsafe
mathjax
matplotlib
mawk
md5deep
meanwhile
memtest86+
memtester
menu
menu-cache
menu-xdg
mesa
mesa-demos
metis
mhash
mime-support
minizip
mjpegtools
mlocate
modemmanager
mongo-cxx-driver-legacy
mongodb
mountall
mpclib3
mpdecimal
mpeg2dec
mpfr4
mpg123
mplayer
mplayer-blue
mtdev
mtools
mutt
mysql-5.5
mysql-defaults
mythes
nano
nas
nautilus
nbformat
ncdu
ncurses
neon27
net-snmp
net-tools
netbase
netcat
netcdf
netcdf-cxx-legacy
netkit-ftp
netkit-telnet
nettle
network-manager
newt
nfacct
nfs-utils
nghttp2
nmap
node-marked
notification-daemon
notify-python
notmuch
npth
nspr
nss
nss-mdns
ntdb
ntfs-3g
#ntp
numactl
nvidia-graphics-drivers
obconf
objenesis
ogdi-dfsg
open-vm-tools
openal-soft
openbox
openbox-menu
opencv
openexr
#openjdk-7
#openjdk-8
openjpeg
openjpeg2
openldap
openmpi
openoffice.org-dictionaries
openssh
openssh-blacklist
#openssl
openssl-blacklist
openssl1.0
openvpn
opus
orbit2
orc
os-prober
osgi-annotation
osgi-compendium
osgi-core
p11-kit
p7zip
packagekit
pam
pandas
pango1.0
pangomm
pangox-compat
parted
patch
patsy
pciutils
pcmanfm
pcre2
pcre3
pcsc-lite
perl
perl-openssl-defaults
php-json
php5
#php7.0
pidgin
pinentry
pixman
pkcs11-helper
pkg-config
plotly
ply
plymouth
pm-utils
pnm2ppa
policykit-1
policykit-1-gnome
poppler
poppler-data
popt
portaudio19
postgresql-10
postgresql-9.4
postgresql-9.6
postgresql-common
potrace
powermgmt-base
powertop
procinfo
procmail
procps
proj
protobuf
protobuf-c
psmisc
psutils
psycopg2
pth
publicsuffix
pulseaudio
pwgen
py3cairo
pyasn1
pycairo
pycparser
pycurl
pygments
pygobject
pygobject-2
pygtk
pymongo
pyopenssl
pyparsing
pyserial
pysimplesoap
python-apt
python-attrs
python-bottle
python-certifi
python-cffi
python-click
python-colorama
python-crypto
python-cryptography
python-cycler
python-dateutil
python-debian
python-debianbts
python-decorator
python-defaults
python-docutils
python-frozendict
python-future
python-httplib2
python-idna
python-ipaddress
python-itsdangerous
python-jedi
python-jsonschema
python-keyring
python-markdown
python-networkx
python-numpy
python-pam
python-path-and-address
python-pip
python-progressbar
python-psutil
python-pyasn1-modules
python-qt4
python-redis
python-requests-futures
python-scipy
python-service-identity
python-setuptools
python-support
python-tz
python-urllib3
python-werkzeug
python-whoosh
python-xlrd
python2.7
python3-defaults
python3-stdlib-extensions
python3.4
python3.5
python3.6
pyxdg
qdbm
#qemu
qhull
qpdf
qt-assistant-compat
qt4-x11
qtbase-opensource-src
qtchooser
qtdeclarative-opensource-src
qtmultimedia-opensource-src
qtscript-opensource-src
qtsvg-opensource-src
qttools-opensource-src
qttranslations-opensource-src
qtwebkit
qtwebkit-opensource-src
qtx11extras-opensource-src
qtxmlpatterns-opensource-src
quota
rake
raptor2
rarian
rasqal
re2
readline
readline5
readline6
realmd
redis
redland
rename
reportbug
requests
rfkill
rpcbind
rsync
rsyslog
rtkit
rtmpdump
ruby-defaults
ruby-did-you-mean
ruby-minitest
ruby-net-telnet
ruby-power-assert
ruby-test-unit
ruby2.3
rubygems-integration
s2tc
#samba
sane-backends
sane-backends-extras
sat4j
sbc
schroedinger
scowl
screen
scrot
sdl-mixer1.2
seabios
seahorse
sed
sensible-utils
serd
serf
sgml-base
sgml-data
shadow
shared-mime-info
sharutils
shine
sip4
six
slang2
sloccount
snappy
sndio
snowball
socket++
sombok
sonic
sord
soundtouch
spandsp
spatialite
speech-dispatcher
speex
sphinx
spice
sqlite
sqlite3
sratom
srtp
ssl-cert
sssd
startpar
startup-notification
statsmodels
subversion
sudo
suitesparse
superlu
swt-gtk
synaptic
sysfsutils
syslinux
system-config-printer
system-tools-backends
systemd
systemd-shim
sysvinit
t1utils
taglib
talloc
tar
tasksel
tbb
tcl8.6
tcltk-defaults
tcp-wrappers
tcpdump
tcsh
tdb
tesseract
tevent
tex-common
texinfo
texlive-base
texlive-bin
texlive-extra
texlive-lang
tiff
time
timgm6mb-soundfont
tipa
tk8.6
tofrodos
tokyocabinet
tomcat6
tomcat7
traceroute
traitlets
ttf-bitstream-vera
ttf-dejavu
ttf-freefont
twisted
twolame
tzdata
ucf
udisks2
underscore
unixodbc
unrar-nonfree
unzip
update-inetd
upower
upstart
uriparser
urwid
usb-modeswitch
usb-modeswitch-data
usbredir
usbutils
user-setup
usermode
ustr
util-linux
v4l-utils
vde2
vim
vim-addon-manager
vim-latexsuite
vim-youcompleteme
virtualbox
vo-aacenc
vo-amrwbenc
volumeicon
vte
vte2.91
vte3
vtk6
vulkan
w3m
waitress
wavpack
wayland
webkit2gtk
webrtc-audio-processing
wget
wheel
whois
wicd
wide-dhcpv6
wildmidi
wireless-regdb
wireless-tools
wireshark
wmctrl
wpa
x11-apps
x11-session-utils
x11-utils
x11-xkb-utils
x11-xserver-utils
x11proto-core
x11proto-damage
x11proto-dri2
x11proto-fixes
x11proto-gl
x11proto-input
x11proto-kb
x11proto-xext
x11proto-xf86vidmode
x264
x265
xapian-core
xarchiver
xauth
xbitmaps
xcb-util
xcb-util-image
xcb-util-keysyms
xcb-util-renderutil
xcb-util-wm
xdg-user-dirs
xdg-utils
xdotool
#xen
xerces-c
xfonts-100dpi
xfonts-75dpi
xfonts-base
xfonts-encodings
xfonts-scalable
xfonts-utils
xft
xinetd
xinit
xkeyboard-config
xml-core
xmlsec1
xmms2
xorg
xorg-docs
xorg-server
xorg-sgml-doctools
xosd
xscreensaver
xserver-xorg-input-evdev
xserver-xorg-input-synaptics
xserver-xorg-video-ati
xserver-xorg-video-fbdev
xserver-xorg-video-intel
xserver-xorg-video-mga
xserver-xorg-video-modesetting
xserver-xorg-video-openchrome
xserver-xorg-video-qxl
xserver-xorg-video-r128
xserver-xorg-video-savage
xserver-xorg-video-tdfx
xserver-xorg-video-trident
xserver-xorg-video-vesa
xserver-xorg-video-vmware
xterm
xtrans
xvidcore
xz-utils
yajl
yaml-cpp
ycmd
yelp
yelp-xsl
zbar
zephyr
zeromq3
zip
zlib
zope.interface
zvbi
zziplib
